Name,Ticker,"Shares
Held","$ Dividend
Amount","%
Dividend
Yield TTM","% Forward
Dividend
Yield","$ Current
Price",,,,,,,,,,
Sysco Corp,SYY,1,1.44,2,2,72.03,,,,,,,,,,
FirstEnergy Corp,FE,1,1.44,3.79,3.79,37.98,,,,,,,,,,
Exelon Corp,EXC,1,1.38,3.11,3.15,43.81,,,,,,,,,,
Pfizer Inc,PFE,1,1.36,2.98,3.03,44.91,,,,,,,,,,
Weyerhaeuser Co,WY,1,1.36,4.29,4.49,30.27,,,,,,,,,,
Cisco Systems Inc,CSCO,1,1.32,2.66,2.74,48.13,,,,,,,,,,
ConocoPhillips,COP,1,1.22,1.43,1.56,78.39,,,,,,,,,,
Raymond James Financial Inc,RJF,1,1.2,1.17,1.28,93.74,,,,,,,,,,
Intel Corp,INTC,1,1.2,2.49,2.55,47.03,,,,,,,,,,
Progressive Corp,PGR,1,1.12,1.59,1.59,70.67,,,,,,,,,,
Bank of New York Mellon Corp,BK,1,1.12,1.9,2.13,52.59,,,,,,,,,,
Vulcan Materials Co,VMC,1,1.12,0.99,1.01,110.64,,,,,,,,,,
Abbott Laboratories,ABT,1,1.12,1.54,1.56,71.58,,,,,,,,,,
Mastercard Inc A,MA,1,1,0.47,0.47,213.26,,,,,,,,,,
Apache Corp,APA,1,1,2.08,2.08,47.98,,,,,,,,,,
Applied Materials Inc,AMAT,1,0.8,1.61,2.15,37.24,,,,,,,,,,
Comcast Corp Class A,CMCSA,1,0.76,2.11,2.2,34.56,,,,,,,,,,
Oracle Corp,ORCL,1,0.76,1.54,1.54,49.35,,,,,,,,,,
"Baker Hughes, a GE Co Class A",BHGE,1,0.72,2.26,2.26,31.9,,,,,,,,,,
Fifth Third Bancorp,FITB,1,0.72,2.41,2.55,28.27,,,,,,,,,,
Corning Inc,GLW,1,0.72,2,2.07,34.73,,,,,,,,,,
Danaher Corp,DHR,1,0.64,0.58,0.6,106.98,,,,,,,,,,
Brown-Forman Corp Class B,BF.B,1,0.63,1.27,1.27,49.69,,,,,,,,,,
General Electric Co,GE,1,0.48,3.64,3.64,13.2,,,,,,,,,,
Ball Corp,BLL,1,0.4,0.87,0.87,45.93,,,,,,,,,,
Twenty-First Century Fox Inc Class A,FOXA,1,0.36,0.78,0.78,46.11,,,,,,,,,,
Symantec Corp,SYMC,1,0.3,1.5,1.5,20.04,,,,,,,,,,
Fortive Corp,FTV,1,0.28,0.33,0.33,83.98,,,,,,,,,,
Marathon Oil Corp,MRO,1,0.2,0.85,0.85,23.41,,,,,,,,,,
Alphabet Inc Class C,GOOG,1,0,0,0,"1,157.35",,,,,,,,,,
Booking Holdings Inc,BKNG,1,0,0,0,"1,903.84",,,,,,,,,,
Amazon.com Inc,AMZN,1,0,0,0,"1,890.09",,,,,,,,,,
Facebook Inc A,FB,1,0,0,0,157.28,,,,,,,,,,
Sprott Physical Gold and Silver Trust,CEF,1,,,,11.74,,,,,,,,,,
SPDR® Gold Shares,GLD,1,,0,,113.8,,,,,,,,,,
Vanguard Real Estate Index Admiral,VGSLX,1,,4.3,,110.88,,,,,,,,,,
Vanguard Real Estate ETF,VNQ,1,,4.29,,78.2,,,,,,,,,,
WAG,WAG,1,,,,0,,,,,,,,,,
Watchlist,Watchlist,,257.98,1.6,1.62,,,,,,,,,,,
